,ID,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve
1085,188654,78,40,78,15,62,66,7,78,39,62,80,60,74,75,64,78,60,38,6,28,50,Thomas Heurtaux,45,36,41,80,79,66,60,60,70,40,10,77,10,40
1087,188155,74,55,84,11,76,75,15,71,62,92,77,72,70,79,68,75,76,70,10,27,74,Daryl Janmaat,67,64,68,75,73,74,66,70,66,73,7,77,7,64
1088,188154,61,65,74,11,78,67,12,90,66,86,65,83,60,77,78,64,72,75,12,26,78,Lewis Holtby,69,69,74,61,71,74,78,80,74,77,8,77,9,78
1091,229343,16,78,57,13,82,74,8,60,69,77,15,75,68,75,74,59,83,71,10,31,73,Wanderson,73,80,75,19,14,76,66,78,80,67,9,77,16,75
1092,187800,74,50,76,7,75,75,7,61,71,81,74,85,52,74,73,68,65,68,8,28,76,Mauricio Isla,58,67,72,78,76,81,78,75,74,80,7,77,7,80
1094,186961,12,80,83,13,77,76,15,90,79,78,16,78,77,74,35,78,73,59,15,27,69,Alberto Paloschi,77,41,84,16,21,78,71,66,77,52,10,77,5,71
1095,186912,72,46,79,15,74,76,14,71,51,86,77,66,65,75,75,74,81,72,13,29,69,Christian Träsch,60,74,63,76,77,68,70,76,76,78,7,77,11,65
1096,186801,70,65,84,12,73,79,15,78,52,92,81,65,80,79,64,86,74,63,8,27,68,Cheikhou Kouyaté,50,59,72,75,81,75,60,68,72,54,9,77,9,39
1097,186672,77,54,77,10,70,69,7,77,63,77,81,76,73,71,66,75,65,73,16,31,67,Geoff Cameron,56,59,62,77,78,68,53,73,80,60,6,77,14,60
1099,186569,13,12,25,75,22,40,81,66,22,29,18,34,8,77,33,41,24,29,74,28,13,Sven Ulreich,13,11,8,14,14,41,39,33,32,14,52,77,79,12
1100,186351,66,71,80,16,75,76,9,90,72,92,70,73,80,73,76,73,85,73,8,27,78,Leroy Fer,66,78,75,69,70,74,51,79,72,68,14,77,14,49
1101,186345,75,45,66,11,71,78,11,73,39,85,74,78,69,71,69,69,77,72,14,26,72,Kieran Trippier,44,66,60,76,74,78,76,71,67,84,8,77,10,75
1102,185163,80,29,76,5,54,69,5,79,45,65,80,59,76,74,58,83,65,28,5,31,50,Luca Rossettini,34,60,32,78,78,65,54,58,74,35,5,77,5,42
1104,184477,75,23,92,9,54,63,11,91,46,60,80,50,84,71,50,90,72,44,10,25,40,Kyriakos Papadopoulos,45,58,35,77,64,61,60,56,69,53,12,77,10,42
1105,183966,75,38,74,6,69,71,15,80,35,68,81,65,70,72,81,73,80,59,14,30,59,Facundo Roncaglia,25,73,51,80,80,63,69,69,70,68,15,77,15,67
1107,183526,23,74,58,8,79,73,7,62,73,69,38,84,49,73,64,60,81,75,10,30,84,Nabil El Zhar,59,71,74,36,37,81,76,74,64,75,16,77,13,75
1109,183284,73,49,76,13,62,66,6,86,57,73,75,62,78,70,73,86,70,63,14,31,62,Aurélien Chedjou,59,59,54,72,77,67,58,74,64,60,15,77,11,51
1110,183256,60,73,59,15,78,77,10,90,66,75,66,83,77,76,77,69,75,78,8,26,79,Henri Saivet,69,65,75,62,64,77,76,78,70,78,13,77,11,73
1111,183187,29,73,67,10,81,68,7,72,67,76,42,79,52,79,70,64,65,77,8,27,78,Valentin Stocker,74,69,74,35,50,75,75,76,74,73,7,77,7,76
1112,182945,38,73,55,10,78,86,11,68,75,71,40,85,66,76,64,58,73,70,12,29,82,Max Gradel,70,71,74,35,51,87,69,74,77,73,8,77,12,68
1113,182896,66,51,73,16,79,78,11,72,48,85,76,85,60,78,68,64,73,63,12,28,77,Roberto Rosales,54,63,69,80,73,78,79,75,74,78,11,77,8,75
1114,182882,68,48,80,13,75,68,11,75,62,84,79,64,70,74,76,87,72,68,6,31,70,Carlos Sánchez,43,68,58,70,78,66,53,78,74,60,7,77,7,52
1115,182744,77,61,82,14,75,86,15,74,57,84,77,76,74,71,69,79,85,54,13,32,73,Jose Holebas,50,78,71,80,68,78,75,70,77,77,13,77,16,69
1116,182629,17,12,29,75,18,34,81,67,23,40,19,69,22,74,32,52,25,47,69,34,14,Beto,22,12,12,10,12,47,35,36,23,17,79,77,80,23
1119,181098,74,45,73,15,74,67,10,74,61,77,78,73,66,77,76,69,65,75,12,33,67,Makoto Hasebe,57,53,62,77,77,66,73,77,78,76,10,77,9,71
1122,178625,59,58,77,14,79,53,10,68,51,88,77,69,65,76,80,68,61,76,15,28,65,Mosquera,51,62,70,65,80,65,60,81,71,61,8,77,10,79
1123,178091,15,74,73,5,75,78,7,76,68,79,25,58,80,71,29,93,81,62,7,27,75,Stefano Okaka,67,69,78,20,21,73,48,71,71,50,7,77,8,58
1124,177922,15,75,43,14,78,90,16,62,69,62,29,80,69,70,72,64,79,70,10,28,76,Kamil Grosicki,69,74,75,20,48,85,70,75,68,79,15,77,11,64
1125,177578,77,34,83,15,54,52,11,50,35,65,80,34,85,73,49,88,47,46,8,29,30,Sebastian Prödl,22,32,37,73,74,53,33,56,57,44,12,77,8,32
1126,177569,48,68,58,6,82,78,10,78,69,69,51,79,52,70,74,65,84,75,8,29,80,Jonathan De Guzmán,69,80,69,48,49,79,87,78,65,77,12,77,10,79
1127,177528,16,80,50,5,74,69,4,85,70,68,28,72,80,74,45,78,76,60,4,32,68,Alessandro Matri,77,58,84,24,25,68,65,67,78,50,4,77,4,65
1129,175254,42,71,81,8,77,74,7,75,73,68,44,61,75,78,53,89,84,61,13,28,72,Felipe Caicedo,75,68,82,47,43,71,67,69,70,59,7,77,10,66
1130,174859,62,61,82,13,80,56,9,58,72,77,77,66,62,74,81,64,76,72,14,29,65,Fran Rico,54,73,53,65,76,63,71,82,54,68,8,77,7,76
1131,173857,11,11,39,79,20,45,77,70,23,38,18,40,10,71,23,70,25,40,76,33,16,Mariano Andújar,11,10,13,19,20,45,40,23,60,14,64,77,78,13
1132,173436,33,75,69,8,78,88,12,70,70,84,45,86,32,67,65,56,75,66,11,29,80,Nathan Dyer,52,74,74,48,35,92,95,74,67,64,14,77,16,58
1134,172835,80,16,78,5,55,66,12,85,34,54,82,59,76,68,55,81,59,28,11,30,49,Marco Andreolli,23,24,33,78,78,62,55,55,74,22,5,77,14,31
1136,172233,68,56,86,9,78,78,13,88,69,89,72,86,58,75,76,69,76,77,11,30,77,Perparim Hetemaj,77,73,73,76,69,78,83,78,77,74,8,77,6,74
1138,172018,82,32,82,14,61,68,12,81,46,64,78,58,76,76,78,85,45,55,9,31,39,Jonatan Maidana,42,32,50,70,74,54,49,63,73,59,14,77,14,45
1139,171875,65,67,88,7,78,83,11,78,74,84,73,78,62,78,74,66,81,72,12,28,82,Caner Erkin,76,80,79,73,72,83,70,74,77,84,10,77,13,84
1140,171688,71,65,82,15,72,76,7,77,54,59,77,67,71,68,69,64,69,69,13,29,81,Fábio Coentrão,64,66,65,82,80,77,76,75,76,77,16,77,14,78
1141,169792,16,79,41,14,75,84,12,81,71,85,28,79,76,77,66,71,75,69,12,27,79,Jay Rodriguez,74,74,80,21,44,79,65,76,74,70,16,77,9,69
1142,169607,72,49,93,14,73,68,11,63,64,79,82,64,66,70,76,78,74,67,9,29,64,Lee Cattermole,58,59,47,80,77,67,71,74,67,61,15,77,15,57
1143,169590,76,57,72,15,76,64,15,72,63,76,76,55,65,74,81,74,82,76,7,29,72,Darron Gibson,66,80,67,76,70,52,61,82,80,77,12,77,6,61
1145,168965,14,11,29,77,23,57,75,69,23,32,13,39,12,73,34,79,21,39,74,29,12,Rémy Riou,13,13,18,12,28,58,57,42,58,14,80,77,78,13
1146,168585,78,44,75,11,64,61,11,53,67,70,80,34,74,70,69,92,78,59,9,32,57,Ron Vlaar,55,66,39,75,78,42,43,70,79,29,8,77,7,39
1148,166074,18,69,72,7,78,90,15,64,65,74,23,69,57,74,64,82,88,66,7,26,82,Bebé,69,70,71,20,29,82,58,70,67,78,8,77,11,67
1149,165531,39,76,67,11,76,89,14,68,60,75,47,83,71,70,65,70,76,73,11,30,76,Ismael Sosa,56,70,77,39,50,91,70,76,78,69,8,77,12,70
1153,164985,16,81,66,8,81,78,9,72,73,69,24,68,78,80,58,76,78,79,5,33,79,Cyril Théréau,80,69,80,20,25,68,58,74,75,70,13,77,12,69
1155,163806,9,11,34,78,21,43,77,64,23,33,12,50,9,71,39,62,24,38,72,30,13,Sergio,11,21,12,13,15,44,48,37,48,21,75,77,80,20
1156,163761,77,35,68,15,65,68,7,80,33,73,79,62,78,75,55,84,49,56,9,32,43,Curtis Davies,33,34,42,77,79,68,56,59,71,25,10,77,10,26
1157,163418,74,21,84,9,61,72,9,78,54,69,79,53,81,68,54,83,82,51,14,31,52,Younès Kaboul,34,55,51,76,74,52,47,70,69,56,7,77,6,44
1158,163407,79,44,82,10,70,62,6,68,57,67,78,63,75,72,66,78,69,54,10,32,61,Andrea Raggi,50,56,53,75,75,55,58,69,75,73,14,77,16,48
1159,163303,74,65,82,16,73,53,10,68,65,79,76,69,64,78,70,75,70,66,13,33,66,Glenn Whelan,59,67,61,71,80,32,66,77,74,71,16,77,11,70
1160,163186,71,75,77,12,76,68,9,78,69,87,76,67,78,74,75,76,73,71,14,33,71,Guillaume Gillet,71,72,76,77,78,68,54,78,77,72,15,77,10,65
1161,162893,73,35,74,7,64,72,16,66,48,55,77,53,77,76,68,87,42,46,15,30,60,Johan Djourou,34,28,44,72,76,65,37,70,69,46,13,76,14,42
1162,161938,22,81,70,7,76,66,7,78,75,67,35,62,84,74,61,81,74,65,14,31,69,Mauro Boselli,65,66,82,33,23,64,55,70,72,57,6,77,14,60
1163,161805,69,56,90,15,74,67,12,70,72,80,78,71,68,77,72,77,76,73,11,31,69,Valon Behrami,69,69,63,78,75,66,68,75,76,69,7,77,11,70
1165,160766,16,76,48,7,86,78,3,69,81,69,20,79,60,77,55,55,68,73,7,29,85,Jérémy Ménez,76,70,78,20,34,78,75,77,74,70,3,77,3,79
1166,158810,70,56,80,10,77,54,11,73,74,68,78,60,68,70,81,73,85,73,14,32,72,Gökhan İnler,76,81,61,77,76,53,59,76,77,70,6,77,5,64
1167,157503,74,55,83,11,76,73,8,71,66,68,77,65,68,76,73,83,68,69,12,29,66,Alexandre Song,52,42,62,73,75,68,57,76,71,58,15,77,12,57
1170,155946,28,74,82,12,79,63,8,60,73,79,56,75,44,65,71,70,81,79,15,29,79,Robert Snodgrass,65,77,76,41,46,69,66,79,77,80,14,77,10,82
1172,153177,22,78,66,6,87,78,7,69,70,69,34,86,56,75,60,62,80,63,16,30,86,Mauro Zárate,78,82,78,30,38,82,74,72,72,66,16,77,12,81
1173,151508,66,58,74,9,77,67,9,82,62,86,71,79,53,80,77,67,63,75,7,32,76,Steven Davis,64,63,68,67,67,67,76,80,84,75,13,77,11,73
1174,149185,72,45,82,11,74,68,8,55,57,74,77,64,61,72,76,74,72,70,12,32,58,Francesco Magnanelli,60,66,53,74,79,68,64,78,69,61,7,77,5,62
1175,148839,77,42,69,9,71,74,7,78,86,78,76,71,63,75,68,70,66,60,10,33,72,Paul Verhaegh,33,52,51,80,81,73,73,75,69,78,14,77,12,62
1178,146701,74,54,84,8,65,48,7,70,65,76,80,53,72,68,75,85,76,50,15,32,53,Iván Ramis,59,65,52,76,81,43,54,72,66,45,9,77,11,67
1180,143632,16,14,51,77,28,42,77,72,24,42,14,54,18,70,42,82,25,50,73,35,25,Volkan Demirel,13,12,12,17,19,43,35,38,54,18,76,77,78,11
1184,139313,74,57,78,16,75,68,14,76,68,80,77,66,76,75,73,75,83,73,12,30,69,Christian Fuchs,70,79,74,76,76,66,60,76,70,84,15,77,13,86
1189,136113,77,19,79,7,62,54,14,76,17,73,78,31,75,76,44,91,52,49,10,33,56,Wes Morgan,23,35,39,76,78,46,52,56,62,17,6,77,8,14
1190,134779,43,77,69,6,73,80,12,81,69,74,46,81,79,75,71,78,77,80,6,31,72,Jimmy Briand,79,69,78,41,42,73,65,79,74,71,7,77,10,67
1191,120312,80,22,80,13,58,31,8,80,44,66,80,50,81,72,73,80,62,43,6,33,17,Michael Dawson,23,21,35,78,75,34,54,56,72,19,6,77,15,23
1192,114764,13,12,38,85,15,33,69,47,13,33,11,28,13,73,20,83,20,53,81,36,11,Iraizoz,16,14,16,12,23,32,52,29,54,11,80,77,71,12
1194,53630,73,54,89,9,67,69,6,83,63,86,73,59,80,76,73,91,77,67,11,33,65,Jelle Van Damme,66,68,69,71,75,65,42,66,74,62,6,77,15,59
1196,52752,51,64,60,15,79,72,12,67,70,67,58,76,56,78,69,61,76,77,9,31,79,Tranquillo Barnetta,69,74,73,55,61,76,75,78,75,80,8,77,15,79
1197,47201,11,14,22,76,32,58,78,82,25,31,11,61,14,70,37,62,37,51,75,33,11,Silvio Proto,17,15,18,17,28,60,61,33,59,17,73,77,81,11
1198,45595,81,23,83,3,51,33,3,76,49,44,81,38,74,69,61,79,60,41,3,35,41,Daniele Bonera,19,53,27,78,81,36,53,56,79,58,3,77,3,38
1203,80,64,68,87,14,77,54,7,72,85,55,66,66,43,73,84,64,79,80,11,36,75,Emre Belözoğlu,69,77,67,65,68,52,84,83,73,78,7,77,8,81
1204,236311,40,62,65,13,78,75,6,53,60,65,54,64,47,68,78,61,70,78,15,21,80,Marko Rog,65,76,63,48,28,76,67,82,73,75,12,76,12,64
1205,231633,76,29,76,14,60,63,10,84,44,74,77,49,72,65,58,86,39,40,7,20,39,Issa Diop,28,21,35,79,73,68,50,64,70,32,6,76,9,28
1206,230613,60,39,82,11,80,76,11,58,52,84,74,78,59,75,74,74,66,76,14,19,76,Amadou Diawara,46,56,54,72,73,76,68,80,72,64,5,76,11,62
1207,230481,40,74,62,15,72,73,12,64,73,80,35,78,64,75,72,70,82,77,12,25,73,Ronaldo Cabrais,76,75,73,33,40,88,76,74,80,75,13,76,13,86
1208,230453,74,45,83,16,70,70,7,81,62,88,77,77,60,79,76,80,65,52,12,33,50,David Seijalbo,53,62,36,68,70,58,76,77,80,48,10,76,9,47
1209,230379,76,29,82,6,64,59,13,54,47,80,77,56,74,64,69,88,65,32,16,29,48,Vieirundinho,28,41,26,72,76,63,42,66,60,42,11,76,9,36
1210,230347,76,51,69,7,72,79,16,71,61,86,74,83,69,75,71,68,55,71,15,29,73,Welington Dano,47,53,67,73,77,78,81,71,62,74,15,76,7,51
1211,230318,32,22,40,76,23,50,76,69,40,43,32,71,45,68,40,78,34,64,77,29,25,Nelsildo Reis,22,35,31,31,35,55,47,39,32,33,77,76,74,21
1212,230317,7,7,41,72,21,33,71,69,24,23,7,42,8,77,21,84,21,71,77,25,8,Fred Aníbão,11,8,21,8,34,31,23,22,66,9,76,76,77,12
1213,230312,10,9,45,77,20,62,77,60,26,23,9,66,7,76,12,60,15,60,74,25,18,Gabri Prestão,8,12,5,74,12,58,43,11,45,8,70,76,75,12
1214,230258,76,51,75,10,71,81,15,43,77,91,72,72,56,77,75,68,42,77,14,29,77,Rosberto Dourado,57,45,58,77,74,78,77,77,68,61,14,76,9,54
1215,230234,71,56,81,15,77,68,9,67,61,88,77,78,56,71,74,71,72,73,9,33,75,Everton Andrão,58,46,54,66,77,69,77,73,63,75,14,76,8,48
1216,230230,76,41,80,7,55,63,7,81,77,68,75,38,73,77,75,83,71,44,15,25,45,Eltildo Correia,52,45,42,77,72,52,37,67,75,61,13,76,11,54
1218,230212,75,51,88,8,52,58,9,88,66,62,77,49,76,71,72,81,43,47,14,29,44,Antônio Chiamuloira,44,51,24,76,75,55,49,61,54,55,13,76,10,54
1219,229906,12,63,57,15,78,93,12,87,71,71,27,89,57,69,67,56,79,68,13,19,80,Leon Bailey,74,77,67,18,21,94,77,71,68,73,6,76,14,75
1220,229593,16,61,50,9,87,85,11,69,72,75,26,83,68,66,67,75,76,68,5,21,86,Marko Pjaca,72,72,60,24,30,85,75,77,70,76,10,76,12,82
1221,229391,73,38,79,7,72,65,14,84,56,86,77,65,70,73,73,86,72,56,10,21,68,Palhinha,56,60,48,70,78,53,49,75,66,48,8,76,7,47
1222,227633,39,66,67,12,76,83,7,54,58,86,47,84,56,74,72,63,66,69,10,20,78,Bart Ramselaar,65,65,75,46,58,84,74,77,67,63,15,76,12,66
1223,227536,32,78,89,11,59,87,14,74,68,88,34,78,73,76,60,89,84,65,7,25,58,Moussa Marega,68,72,80,28,26,85,40,65,65,64,13,76,11,46
1224,226766,26,65,65,7,79,87,14,66,63,73,33,93,42,81,54,29,65,72,14,21,83,Daniel Podence,57,54,74,29,21,92,90,68,77,66,8,76,15,66
1226,226221,78,26,73,15,71,74,7,73,43,81,76,59,75,75,39,66,40,32,10,23,48,Aritz Elustondo,30,40,36,79,77,68,62,66,51,68,12,76,8,46
1227,225719,15,79,56,11,76,85,8,58,74,65,22,79,60,70,58,74,76,65,7,20,74,Kelechi Iheanacho,69,66,79,12,17,89,70,67,73,48,7,76,15,67
1228,224811,78,41,70,13,63,78,15,58,34,79,77,48,74,71,61,88,73,34,14,24,38,Ivan Ordets,59,57,38,74,76,61,38,68,68,41,10,76,11,39
1229,224458,26,73,70,9,79,81,7,66,61,73,48,87,68,81,64,60,76,73,12,20,83,Diogo Jota,69,75,80,39,54,82,78,67,80,58,15,76,11,74
1230,224411,25,75,67,9,76,87,9,65,69,77,34,84,60,79,62,56,78,71,12,20,77,Gonçalo Guedes,73,77,81,30,43,86,70,73,75,69,11,76,9,74
1232,223154,73,62,78,7,76,79,6,68,53,80,75,76,70,73,76,76,80,70,14,22,74,Ozan Tufan,55,75,74,71,76,77,69,76,76,68,8,76,15,67
1233,223142,72,44,85,15,65,73,7,90,63,72,77,65,82,69,63,78,58,31,6,31,51,Aytaç Sulu,36,32,47,75,72,69,74,55,69,33,8,76,12,36
1234,223046,76,42,69,8,64,70,11,84,44,75,78,52,76,74,64,78,55,48,8,23,54,Ahmet Çalık,41,21,40,75,77,66,74,65,75,43,6,76,13,44
1235,222357,24,76,63,7,82,87,13,73,66,78,28,78,68,73,70,85,75,69,6,20,78,Breel Embolo,66,64,78,22,41,84,73,72,76,57,7,76,12,63
1238,220814,74,36,77,14,65,65,10,85,34,61,77,69,75,65,58,72,62,33,7,21,46,Lucas Hernández,23,47,27,81,76,66,61,67,48,57,8,76,10,38
1239,220746,28,70,52,6,77,86,9,57,60,64,34,86,43,77,66,39,74,70,11,20,80,Andrija Živković,68,69,73,28,33,87,88,71,68,70,8,76,6,82
1241,220295,37,75,50,9,72,85,9,90,70,85,40,76,74,72,63,68,84,62,12,27,75,Enner Valencia,61,74,73,42,42,86,74,68,75,70,16,76,8,71
1242,219712,70,40,80,14,69,64,9,72,59,77,80,76,57,72,78,66,71,70,14,23,63,Sebastián Cristóforo,36,68,60,78,80,72,85,76,69,52,12,76,15,59
1243,219693,75,26,82,7,66,70,7,79,41,64,76,58,77,74,56,83,73,38,10,24,54,Diego Carlos,29,57,52,66,74,74,57,66,67,35,14,76,11,47
1245,219571,58,66,72,11,80,61,14,72,56,75,73,67,57,69,74,76,76,76,9,22,72,Camarasa,59,69,68,68,70,65,69,79,69,59,11,76,8,57
1246,219455,29,75,65,8,74,77,11,81,62,71,39,72,80,77,58,71,77,69,12,23,71,Jonathan Calleri,71,69,79,32,37,75,79,66,73,56,8,76,6,57
1248,217648,29,64,39,11,77,84,16,65,56,74,46,87,43,74,59,34,56,67,11,25,85,Genki Haraguchi,56,66,71,42,37,85,78,75,67,70,11,76,7,66
1249,217085,71,23,74,12,75,84,11,72,40,86,76,82,57,78,58,63,64,45,6,22,77,Víctor García,35,36,66,75,74,82,83,67,64,72,11,76,12,59
1250,216749,27,71,55,9,74,86,16,66,65,74,41,89,64,76,60,37,77,74,14,23,79,Carlos Mané,73,72,79,33,49,88,92,71,74,68,10,76,11,81
1251,216497,23,73,55,10,77,79,8,59,59,68,27,79,54,74,62,65,79,75,12,23,79,Maximilian Philipp,67,68,75,25,39,83,75,74,66,64,10,76,9,66
1252,216468,39,71,42,14,78,73,8,60,66,68,43,78,52,73,73,34,81,77,6,23,80,Juan Pablo Añor,39,77,75,36,35,68,79,76,57,72,12,76,6,69
1253,216409,12,69,60,8,80,79,11,43,44,69,12,90,40,73,60,38,68,68,12,23,80,Matteo Politano,67,68,73,12,25,85,84,74,64,70,6,76,11,66
1254,216266,77,32,79,6,68,81,9,74,43,72,83,71,66,72,58,77,62,49,15,21,64,Kenny Tete,36,43,55,85,76,77,70,70,65,62,11,76,10,42
1257,215985,18,19,29,71,23,57,78,59,24,32,14,48,23,66,25,64,24,46,78,28,19,Fernando Monetti,19,15,15,24,18,56,59,37,21,19,75,76,80,23
1260,215344,76,33,82,14,58,68,11,65,53,68,80,67,75,70,46,82,46,35,15,32,53,Gerardo Alcoba,45,37,23,75,81,67,65,53,60,48,14,76,12,51
1261,215259,46,71,44,8,74,80,16,57,60,76,41,77,46,68,73,58,68,80,6,24,75,Emiliano Rigoni,71,73,73,55,30,82,72,73,58,81,10,76,16,78
1263,215042,20,72,61,8,76,84,7,81,65,78,18,84,68,74,64,69,81,62,11,30,80,Gastón Lezcano,62,75,76,18,23,87,87,66,75,73,14,76,9,64
1265,214766,73,45,74,8,59,51,8,85,30,75,77,41,79,76,55,79,60,33,11,28,36,Carlos Izquierdoz,50,54,23,76,78,54,53,63,45,43,7,76,8,32
1266,214606,68,50,60,9,79,66,14,70,52,78,73,69,50,69,78,64,72,73,14,24,73,Sebastián Pérez,66,73,66,70,71,70,72,80,81,59,7,76,16,62
1267,214605,74,33,81,8,69,63,7,53,37,90,73,66,51,76,73,85,67,68,14,28,51,Alexander Mejía,31,56,58,71,76,66,70,74,62,59,8,76,13,36
1268,214040,66,46,72,9,73,90,7,85,55,90,71,82,69,71,51,78,67,40,15,26,78,Frank Fabra,33,54,61,75,72,85,71,68,60,70,13,76,7,60
1270,213516,24,66,41,8,80,76,7,62,71,76,28,85,51,79,60,48,79,75,9,22,80,Ricardo Horta,82,68,72,25,31,78,82,72,68,73,10,76,13,78
1272,212295,76,34,80,8,54,61,10,58,60,62,80,49,80,68,39,87,80,34,13,27,52,Aderllan Santos,46,63,27,74,76,49,30,52,71,42,13,76,12,51
1275,212878,27,79,67,10,75,64,13,79,86,69,30,62,77,74,59,83,78,58,8,24,68,Nicolás Castillo,69,70,78,19,37,68,81,65,72,49,9,76,15,59
1279,212623,48,80,59,8,77,80,9,72,59,80,41,75,59,80,65,67,75,57,8,21,78,Santi Mina,68,69,80,49,54,80,75,69,69,73,14,76,15,69
1280,212501,71,58,73,14,73,69,14,73,44,82,78,65,79,77,76,77,81,72,8,21,66,Leander Dendoncker,69,72,68,75,78,66,62,78,72,71,14,77,6,72
1281,212476,65,58,49,12,77,59,13,59,80,67,66,69,47,71,80,58,81,77,14,23,71,Medrán,57,80,66,59,65,59,71,81,58,68,13,76,10,70
1283,212245,65,71,74,11,78,69,13,64,50,78,71,73,59,76,74,74,75,77,13,23,75,Yannick Gerhardt,57,64,71,73,72,69,67,80,65,71,7,76,6,65
1284,212230,21,69,67,9,78,76,7,61,75,76,31,88,45,74,67,50,76,69,8,22,82,Iuri Medeiros,73,75,73,26,30,86,92,72,78,74,7,76,12,87
1285,212212,68,59,83,10,76,66,6,82,47,78,77,67,72,72,74,69,60,69,11,23,70,Dominik Kohr,45,64,46,68,76,66,68,78,69,42,9,76,7,51
1286,212125,30,65,41,6,82,92,8,66,70,60,39,88,58,73,57,56,65,73,9,23,84,Lazar Marković,68,60,73,36,49,91,82,71,78,67,15,76,7,79
1287,212096,23,69,52,8,82,74,10,52,63,72,31,83,47,72,60,64,80,70,12,23,81,Vincenzo Grifo,69,75,74,30,45,78,79,73,66,81,8,76,14,83
1288,212023,43,83,65,12,74,70,16,72,71,74,30,62,71,70,67,76,75,75,11,25,69,Robert Berić,67,66,83,23,38,68,65,72,71,52,15,76,16,65
1290,211302,19,80,70,11,76,85,9,78,72,75,15,85,78,72,34,61,70,61,15,27,74,Gianluca Lapadula,76,58,79,18,19,83,78,68,72,47,15,76,12,68
1291,210972,73,32,67,12,73,78,14,68,46,89,78,74,63,69,66,66,69,39,7,22,71,Manquillo,37,44,69,75,69,82,64,73,64,79,14,76,13,75
1292,210897,74,57,74,7,69,79,9,83,31,74,79,68,74,69,65,83,79,43,14,22,68,Chancel Mbemba,37,42,56,76,72,76,63,64,75,47,16,76,7,29
1294,210828,75,54,76,7,65,67,9,72,35,70,76,57,79,74,73,76,46,57,12,22,53,Björn Engels,27,26,47,74,75,58,33,68,75,48,14,76,8,29
1295,210787,77,37,81,13,66,66,8,79,46,72,79,64,69,68,56,80,52,36,14,27,39,Mauro Dos Santos,32,33,37,80,73,61,61,69,53,52,6,76,12,53
1296,210736,67,43,65,7,78,79,8,68,55,79,68,79,59,78,66,54,80,41,15,22,76,Emerson,44,77,75,69,75,79,74,74,73,77,8,76,14,51
1297,210583,46,72,59,16,78,66,7,54,60,76,56,84,47,74,69,59,76,77,14,21,76,Marc Stendera,66,75,68,49,54,75,89,76,64,67,9,76,7,83
1299,210259,21,81,79,14,73,66,15,54,79,76,23,59,82,71,46,84,77,59,14,24,70,Ahmed Hassan,78,71,77,25,31,62,45,63,76,30,8,76,11,66
1300,210047,72,55,72,10,69,55,8,86,80,74,77,67,83,73,76,78,76,70,9,25,65,Fabian Schär,53,65,61,75,74,63,61,75,60,65,11,76,15,65
1301,209989,65,54,74,9,73,72,11,82,46,84,81,64,66,74,73,84,76,69,13,23,65,Thomas Partey,53,63,60,76,75,66,55,77,49,43,9,76,7,59
1304,208620,70,53,70,10,80,68,6,73,75,82,77,77,51,69,77,74,74,70,7,24,74,Omar Mascarell,54,69,62,71,72,69,68,80,70,46,9,76,11,61
1305,208615,73,51,72,11,70,74,8,83,55,74,75,62,82,68,49,83,46,26,14,24,45,Christopher Jullien,28,32,50,71,74,69,52,64,70,37,12,76,8,29
1306,208607,75,37,92,14,68,49,9,66,42,79,75,53,79,73,65,82,59,33,9,32,55,Martín Mantovani,55,34,46,67,74,52,61,76,42,47,11,76,12,63
1307,208535,68,50,80,6,77,77,9,78,44,83,78,73,68,77,76,75,84,67,8,24,71,Alfred Duncan,58,75,68,73,77,75,70,78,72,74,8,76,8,69
1308,208461,71,59,76,12,74,66,14,79,60,87,78,62,71,78,76,76,75,72,15,26,65,Marten de Roon,62,67,66,75,81,66,69,78,72,63,7,76,12,57
1309,208330,20,66,31,12,81,77,15,61,60,59,22,84,23,69,73,54,58,76,10,22,84,Adnan Januzaj,67,67,68,22,21,84,65,75,64,72,11,76,7,70
1310,208295,79,51,76,11,75,71,10,65,47,78,74,69,73,73,78,72,59,69,16,27,68,Romain Saïss,47,58,46,64,81,68,68,73,78,50,6,76,7,48
1311,208135,69,70,75,15,78,76,15,71,45,83,74,60,66,68,74,80,75,75,12,24,75,Abdoulaye Doucouré,67,74,73,71,72,65,64,79,68,68,12,76,14,41
1313,207948,30,70,67,13,83,84,11,68,66,73,26,82,55,74,69,70,75,74,7,21,79,Bertrand Traoré,76,72,72,23,39,86,74,69,67,68,7,76,12,75
1315,207732,16,75,65,14,76,84,15,75,76,76,35,81,69,72,48,72,80,64,13,26,73,Roger,78,68,81,28,23,82,77,68,70,66,15,76,8,41
1316,206436,41,73,61,13,77,75,6,77,76,68,31,78,64,64,69,58,71,78,9,22,79,Yassine Benzia,69,67,76,29,55,76,75,76,64,66,14,76,9,77
1318,206306,62,60,85,15,79,63,7,64,54,74,74,78,53,73,77,67,79,75,11,25,72,Jordan Ferri,56,79,66,62,71,69,88,81,75,68,11,76,15,71
