,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve,ID
1030,22.0,81.0,39.0,15.0,75.0,76.0,13.0,89.0,76.0,81.0,37.0,77.0,75.0,72.0,63.0,78.0,75.0,64.0,12.0,26,76.0,M. Dabbur,72.0,65.0,80.0,27.0,19.0,74.0,71.0,72.0,66.0,50.0,10.0,77,11.0,74.0,208498
1031,20.0,14.0,29.0,76.0,31.0,48.0,78.0,74.0,19.0,32.0,15.0,68.0,19.0,76.0,38.0,78.0,36.0,45.0,71.0,32,12.0,Roberto,13.0,11.0,17.0,18.0,24.0,45.0,40.0,39.0,57.0,15.0,75.0,77,80.0,14.0,183666
1032,28.0,78.0,55.0,10.0,78.0,85.0,11.0,71.0,67.0,82.0,25.0,76.0,73.0,75.0,62.0,81.0,76.0,72.0,8.0,27,78.0,Djaniny,66.0,63.0,78.0,21.0,47.0,78.0,67.0,70.0,77.0,63.0,16.0,77,8.0,64.0,205427
1036,75.0,30.0,72.0,11.0,73.0,84.0,10.0,86.0,45.0,69.0,79.0,69.0,69.0,69.0,67.0,79.0,57.0,60.0,7.0,20,72.0,N. Mukiele,35.0,52.0,59.0,81.0,76.0,78.0,64.0,74.0,71.0,74.0,14.0,77,15.0,68.0,226166
1037,72.0,52.0,77.0,11.0,64.0,64.0,9.0,90.0,62.0,52.0,79.0,61.0,81.0,70.0,78.0,79.0,78.0,51.0,10.0,32,55.0,T. Vermaelen,56.0,68.0,41.0,80.0,73.0,67.0,56.0,80.0,72.0,63.0,7.0,77,15.0,61.0,157304
1038,76.0,38.0,76.0,3.0,75.0,85.0,3.0,75.0,48.0,76.0,76.0,75.0,68.0,76.0,72.0,69.0,68.0,68.0,3.0,31,75.0,I. Abate,60.0,60.0,74.0,75.0,75.0,77.0,75.0,76.0,78.0,75.0,5.0,77,3.0,69.0,168312
1039,76.0,39.0,75.0,9.0,73.0,63.0,8.0,79.0,53.0,72.0,77.0,65.0,76.0,76.0,72.0,72.0,45.0,51.0,12.0,24,58.0,Diego Llorente,31.0,37.0,43.0,78.0,80.0,65.0,64.0,76.0,69.0,55.0,11.0,77,7.0,30.0,212602
1040,39.0,78.0,74.0,7.0,74.0,75.0,14.0,76.0,81.0,70.0,30.0,65.0,83.0,75.0,48.0,84.0,80.0,64.0,16.0,26,66.0,C. Wood,69.0,71.0,79.0,29.0,40.0,68.0,61.0,65.0,77.0,46.0,16.0,77,16.0,69.0,192123
1041,20.0,76.0,52.0,8.0,73.0,81.0,8.0,56.0,56.0,61.0,14.0,79.0,77.0,73.0,58.0,72.0,85.0,56.0,9.0,26,72.0,Formosandrinho,72.0,77.0,75.0,15.0,23.0,81.0,77.0,65.0,78.0,57.0,8.0,77,11.0,61.0,230524
1042,80.0,44.0,76.0,15.0,78.0,67.0,12.0,79.0,60.0,84.0,78.0,68.0,69.0,72.0,72.0,77.0,72.0,74.0,12.0,24,74.0,E. Pulgar,54.0,66.0,58.0,74.0,72.0,67.0,68.0,78.0,74.0,58.0,11.0,77,11.0,58.0,213629
1043,76.0,30.0,77.0,13.0,63.0,66.0,11.0,79.0,68.0,74.0,75.0,37.0,84.0,69.0,64.0,86.0,71.0,51.0,6.0,29,33.0,V. Vasin,38.0,36.0,25.0,72.0,78.0,69.0,43.0,62.0,66.0,51.0,6.0,77,7.0,72.0,187517
1044,50.0,72.0,52.0,8.0,84.0,66.0,10.0,52.0,65.0,72.0,31.0,78.0,47.0,72.0,63.0,62.0,81.0,70.0,12.0,25,83.0,V. Grifo,70.0,76.0,73.0,30.0,45.0,74.0,79.0,73.0,72.0,82.0,8.0,77,14.0,84.0,212096
1046,70.0,61.0,72.0,10.0,79.0,68.0,15.0,66.0,59.0,78.0,69.0,74.0,55.0,76.0,77.0,65.0,72.0,75.0,15.0,28,78.0,J. dos Santos,69.0,73.0,73.0,69.0,67.0,74.0,81.0,81.0,73.0,76.0,7.0,77,12.0,77.0,170370
1047,79.0,32.0,69.0,9.0,70.0,72.0,10.0,72.0,55.0,74.0,76.0,63.0,77.0,74.0,69.0,76.0,54.0,63.0,10.0,29,62.0,D. Schwaab,49.0,29.0,49.0,78.0,77.0,65.0,61.0,72.0,71.0,64.0,15.0,77,6.0,55.0,183426
1048,75.0,37.0,81.0,9.0,69.0,78.0,14.0,75.0,46.0,82.0,78.0,65.0,68.0,77.0,63.0,75.0,74.0,52.0,10.0,30,63.0,M. Schmelzer,47.0,60.0,54.0,80.0,78.0,74.0,63.0,74.0,72.0,73.0,15.0,77,8.0,73.0,188802
1049,77.0,60.0,68.0,15.0,80.0,83.0,11.0,76.0,59.0,89.0,76.0,74.0,62.0,74.0,70.0,72.0,68.0,68.0,13.0,25,81.0,L. Spinazzola,59.0,68.0,70.0,76.0,74.0,77.0,61.0,74.0,74.0,76.0,12.0,77,14.0,62.0,202884
1050,74.0,41.0,74.0,13.0,66.0,67.0,10.0,80.0,65.0,68.0,79.0,68.0,76.0,76.0,62.0,80.0,69.0,65.0,7.0,27,62.0,A. Dragović,37.0,53.0,63.0,77.0,80.0,65.0,64.0,67.0,73.0,49.0,11.0,77,8.0,32.0,189060
1051,70.0,62.0,76.0,9.0,82.0,62.0,16.0,68.0,66.0,88.0,69.0,70.0,68.0,77.0,71.0,67.0,80.0,82.0,8.0,26,72.0,D. Pröpper,72.0,78.0,66.0,61.0,62.0,64.0,64.0,77.0,84.0,58.0,16.0,77,6.0,74.0,193158
1052,30.0,78.0,40.0,13.0,76.0,69.0,14.0,83.0,72.0,66.0,13.0,54.0,90.0,72.0,35.0,85.0,78.0,42.0,11.0,26,68.0,R. Inglese,70.0,68.0,78.0,12.0,19.0,51.0,55.0,65.0,74.0,39.0,10.0,77,7.0,68.0,199559
1054,24.0,68.0,56.0,7.0,81.0,74.0,13.0,58.0,70.0,70.0,44.0,78.0,50.0,72.0,72.0,68.0,78.0,75.0,12.0,24,83.0,R. De Paul,57.0,79.0,75.0,40.0,28.0,78.0,72.0,78.0,76.0,76.0,10.0,77,14.0,80.0,212616
1055,70.0,73.0,72.0,7.0,75.0,39.0,15.0,61.0,63.0,85.0,76.0,50.0,78.0,76.0,75.0,79.0,79.0,75.0,11.0,32,69.0,C. Gentner,75.0,76.0,74.0,74.0,77.0,37.0,48.0,76.0,79.0,67.0,16.0,77,8.0,69.0,158856
1056,44.0,83.0,79.0,7.0,74.0,34.0,15.0,84.0,80.0,55.0,29.0,52.0,85.0,84.0,55.0,77.0,78.0,70.0,16.0,34,65.0,G. Murray,74.0,64.0,88.0,23.0,45.0,34.0,71.0,69.0,81.0,48.0,14.0,77,10.0,57.0,172937
1058,13.0,17.0,35.0,77.0,17.0,56.0,78.0,68.0,41.0,35.0,13.0,35.0,16.0,69.0,35.0,63.0,20.0,50.0,76.0,28,17.0,A. McCarthy,12.0,14.0,16.0,12.0,22.0,58.0,43.0,33.0,61.0,11.0,64.0,77,81.0,15.0,189324
1059,15.0,16.0,15.0,74.0,15.0,54.0,78.0,75.0,25.0,31.0,12.0,66.0,17.0,69.0,13.0,52.0,17.0,42.0,77.0,28,17.0,L. Chichizola,14.0,17.0,14.0,11.0,16.0,49.0,44.0,14.0,57.0,11.0,68.0,77,79.0,15.0,191628
1060,81.0,56.0,88.0,13.0,79.0,86.0,12.0,65.0,39.0,79.0,78.0,67.0,65.0,73.0,79.0,83.0,69.0,76.0,12.0,21,73.0,D. Zakaria,28.0,51.0,63.0,81.0,77.0,74.0,63.0,82.0,73.0,64.0,7.0,77,11.0,60.0,229261
1061,80.0,43.0,77.0,12.0,55.0,75.0,12.0,68.0,45.0,72.0,75.0,55.0,68.0,70.0,67.0,86.0,74.0,50.0,14.0,24,69.0,G. Dzhikiya,26.0,60.0,65.0,85.0,78.0,91.0,65.0,65.0,73.0,58.0,13.0,77,12.0,60.0,229773
1062,40.0,80.0,78.0,10.0,76.0,68.0,13.0,82.0,86.0,69.0,30.0,62.0,77.0,74.0,59.0,88.0,82.0,58.0,8.0,25,68.0,N. Castillo,69.0,72.0,78.0,19.0,37.0,70.0,75.0,65.0,74.0,49.0,9.0,77,15.0,67.0,212878
1064,73.0,65.0,81.0,13.0,77.0,74.0,12.0,70.0,60.0,87.0,76.0,62.0,78.0,72.0,72.0,83.0,79.0,71.0,16.0,24,74.0,O. Yokuşlu,70.0,75.0,68.0,71.0,76.0,72.0,62.0,77.0,72.0,67.0,10.0,77,7.0,72.0,205201
1066,58.0,80.0,82.0,11.0,74.0,77.0,12.0,70.0,72.0,74.0,39.0,65.0,78.0,77.0,44.0,77.0,79.0,58.0,11.0,23,68.0,D. Selke,76.0,63.0,81.0,17.0,29.0,71.0,60.0,61.0,63.0,40.0,7.0,77,14.0,65.0,212626
1067,72.0,37.0,87.0,14.0,78.0,79.0,8.0,68.0,67.0,77.0,75.0,78.0,53.0,75.0,65.0,64.0,60.0,69.0,12.0,24,79.0,Wendell,29.0,59.0,69.0,80.0,75.0,87.0,77.0,77.0,72.0,78.0,6.0,77,14.0,66.0,216466
1068,77.0,67.0,72.0,12.0,76.0,76.0,7.0,75.0,74.0,76.0,75.0,72.0,63.0,74.0,74.0,66.0,80.0,71.0,16.0,30,75.0,M. Layún,66.0,76.0,73.0,74.0,77.0,76.0,78.0,76.0,79.0,80.0,6.0,77,11.0,68.0,178322
1070,36.0,80.0,60.0,10.0,76.0,77.0,10.0,75.0,68.0,72.0,20.0,69.0,76.0,74.0,34.0,74.0,74.0,56.0,7.0,20,74.0,P. Cutrone,72.0,62.0,80.0,18.0,14.0,75.0,76.0,70.0,72.0,48.0,7.0,77,5.0,68.0,237715
1071,9.0,17.0,36.0,77.0,20.0,50.0,76.0,84.0,22.0,34.0,12.0,60.0,12.0,79.0,35.0,62.0,20.0,45.0,76.0,35,11.0,F. Marchetti,12.0,13.0,12.0,14.0,22.0,55.0,51.0,36.0,64.0,13.0,65.0,77,78.0,14.0,139668
1072,74.0,77.0,78.0,11.0,78.0,77.0,8.0,78.0,53.0,79.0,77.0,80.0,67.0,70.0,74.0,78.0,82.0,76.0,16.0,23,78.0,W. Cyprien,64.0,79.0,72.0,68.0,76.0,76.0,75.0,78.0,79.0,74.0,8.0,77,14.0,78.0,212886
1073,74.0,16.0,79.0,10.0,52.0,34.0,10.0,78.0,35.0,73.0,81.0,34.0,76.0,73.0,58.0,88.0,60.0,18.0,6.0,32,48.0,G. Paletta,30.0,44.0,28.0,80.0,81.0,54.0,38.0,54.0,74.0,30.0,15.0,77,14.0,48.0,165526
1074,32.0,72.0,80.0,8.0,77.0,71.0,7.0,75.0,73.0,54.0,44.0,61.0,75.0,78.0,59.0,90.0,84.0,61.0,13.0,29,72.0,F. Caicedo,75.0,68.0,82.0,47.0,43.0,69.0,67.0,72.0,70.0,59.0,7.0,77,10.0,66.0,175254
1075,21.0,12.0,21.0,74.0,25.0,64.0,79.0,81.0,12.0,41.0,14.0,70.0,13.0,73.0,38.0,54.0,26.0,55.0,76.0,29,17.0,Jordi Masip,19.0,13.0,11.0,13.0,16.0,57.0,65.0,42.0,54.0,20.0,76.0,77,78.0,21.0,199575
1076,70.0,39.0,79.0,9.0,67.0,51.0,11.0,75.0,52.0,61.0,80.0,47.0,78.0,68.0,61.0,84.0,56.0,49.0,15.0,28,40.0,B. Espinosa,44.0,42.0,33.0,75.0,77.0,43.0,36.0,74.0,70.0,51.0,12.0,77,12.0,51.0,186521
1077,71.0,66.0,74.0,12.0,78.0,68.0,11.0,68.0,52.0,79.0,74.0,74.0,68.0,72.0,76.0,75.0,80.0,74.0,7.0,23,78.0,M. Benassi,70.0,76.0,76.0,70.0,72.0,67.0,68.0,80.0,72.0,70.0,5.0,77,14.0,68.0,211354
1078,78.0,30.0,79.0,32.0,60.0,51.0,32.0,81.0,55.0,50.0,77.0,45.0,77.0,72.0,66.0,77.0,69.0,39.0,33.0,35,49.0,P. Jagielka,44.0,54.0,48.0,76.0,77.0,40.0,61.0,70.0,76.0,55.0,38.0,77,34.0,55.0,53914
1079,77.0,65.0,86.0,15.0,75.0,65.0,14.0,90.0,71.0,87.0,77.0,72.0,75.0,79.0,76.0,90.0,85.0,70.0,8.0,31,75.0,J. Kucka,68.0,78.0,73.0,78.0,78.0,66.0,54.0,76.0,75.0,68.0,9.0,77,8.0,66.0,190875
1080,63.0,70.0,58.0,7.0,76.0,78.0,12.0,73.0,72.0,74.0,68.0,74.0,59.0,74.0,75.0,64.0,78.0,77.0,8.0,26,78.0,R. Brady,66.0,75.0,73.0,71.0,66.0,79.0,76.0,72.0,74.0,80.0,13.0,77,7.0,81.0,201884
1082,75.0,46.0,83.0,10.0,55.0,65.0,13.0,72.0,55.0,64.0,77.0,54.0,79.0,77.0,59.0,81.0,70.0,44.0,15.0,29,43.0,W. Reid,30.0,53.0,42.0,78.0,78.0,55.0,40.0,60.0,67.0,28.0,9.0,77,12.0,33.0,176285
1083,68.0,57.0,75.0,12.0,76.0,78.0,11.0,72.0,60.0,86.0,80.0,74.0,65.0,76.0,69.0,62.0,76.0,65.0,14.0,26,75.0,Cédric,68.0,74.0,71.0,76.0,74.0,79.0,83.0,75.0,69.0,70.0,12.0,77,11.0,66.0,201118
1084,77.0,54.0,83.0,14.0,67.0,36.0,13.0,72.0,58.0,66.0,79.0,33.0,85.0,68.0,59.0,94.0,66.0,50.0,6.0,34,35.0,R. Civelli,55.0,57.0,48.0,67.0,73.0,49.0,37.0,64.0,74.0,53.0,16.0,77,10.0,37.0,152993
1085,59.0,63.0,79.0,15.0,81.0,74.0,11.0,59.0,45.0,75.0,67.0,73.0,58.0,64.0,81.0,80.0,64.0,79.0,7.0,22,82.0,R. Loftus-Cheek,54.0,60.0,79.0,61.0,57.0,68.0,67.0,83.0,78.0,62.0,12.0,77,13.0,58.0,213666
1086,80.0,20.0,74.0,11.0,54.0,67.0,6.0,83.0,46.0,63.0,80.0,54.0,72.0,70.0,54.0,92.0,61.0,34.0,5.0,31,52.0,S. De Maio,20.0,37.0,19.0,78.0,78.0,61.0,54.0,50.0,76.0,11.0,5.0,77,7.0,23.0,182179
1087,76.0,44.0,90.0,15.0,72.0,68.0,7.0,79.0,74.0,87.0,75.0,77.0,50.0,76.0,70.0,77.0,70.0,63.0,7.0,33,70.0,S. Brown,42.0,48.0,47.0,71.0,77.0,66.0,73.0,82.0,86.0,53.0,14.0,77,14.0,55.0,134820
1088,25.0,78.0,89.0,7.0,74.0,64.0,15.0,81.0,66.0,64.0,24.0,67.0,84.0,77.0,43.0,88.0,82.0,68.0,12.0,23,66.0,A. Mitrović,76.0,70.0,82.0,13.0,14.0,60.0,63.0,67.0,76.0,29.0,6.0,77,13.0,39.0,215716
1089,68.0,46.0,79.0,6.0,79.0,55.0,7.0,74.0,55.0,86.0,77.0,77.0,52.0,77.0,72.0,66.0,56.0,75.0,13.0,31,75.0,P. Skjelbred,40.0,42.0,55.0,74.0,81.0,66.0,77.0,75.0,77.0,69.0,11.0,77,7.0,67.0,152996
1090,31.0,79.0,68.0,12.0,83.0,62.0,15.0,81.0,79.0,69.0,32.0,72.0,79.0,74.0,65.0,75.0,71.0,74.0,12.0,34,70.0,D. Cvitanich,71.0,67.0,81.0,34.0,33.0,68.0,79.0,73.0,77.0,64.0,15.0,77,11.0,67.0,152997
1091,26.0,78.0,40.0,15.0,79.0,88.0,8.0,76.0,66.0,69.0,20.0,81.0,72.0,76.0,50.0,69.0,72.0,58.0,14.0,25,76.0,K. Lasagna,74.0,66.0,80.0,18.0,30.0,89.0,72.0,66.0,74.0,60.0,13.0,77,15.0,66.0,224933
1092,40.0,76.0,78.0,17.0,84.0,77.0,17.0,76.0,79.0,65.0,33.0,79.0,74.0,76.0,56.0,61.0,70.0,77.0,14.0,36,82.0,R. Palacio,76.0,60.0,80.0,30.0,39.0,79.0,81.0,76.0,82.0,70.0,17.0,77,17.0,78.0,152999
1093,67.0,75.0,73.0,16.0,78.0,84.0,12.0,53.0,52.0,86.0,54.0,68.0,60.0,73.0,61.0,68.0,70.0,74.0,15.0,23,78.0,M. Wolf,62.0,67.0,74.0,50.0,64.0,83.0,67.0,73.0,68.0,75.0,7.0,77,8.0,69.0,224425
1094,59.0,84.0,71.0,13.0,75.0,63.0,11.0,77.0,63.0,78.0,35.0,68.0,78.0,72.0,46.0,79.0,78.0,71.0,9.0,31,65.0,E. Gigliotti,73.0,67.0,82.0,24.0,35.0,61.0,62.0,66.0,71.0,51.0,14.0,77,6.0,57.0,200875
1095,39.0,79.0,60.0,9.0,77.0,73.0,6.0,68.0,68.0,81.0,36.0,65.0,74.0,75.0,63.0,84.0,80.0,74.0,8.0,27,74.0,N. Jørgensen,74.0,75.0,75.0,24.0,31.0,75.0,57.0,72.0,82.0,68.0,14.0,77,7.0,69.0,199852
1096,78.0,49.0,89.0,9.0,58.0,63.0,14.0,78.0,32.0,76.0,79.0,50.0,73.0,67.0,57.0,80.0,40.0,46.0,12.0,28,36.0,Laguardia,29.0,30.0,44.0,76.0,76.0,54.0,59.0,70.0,70.0,43.0,13.0,77,10.0,38.0,194222
1097,66.0,54.0,74.0,15.0,80.0,93.0,8.0,74.0,53.0,76.0,74.0,78.0,62.0,78.0,66.0,84.0,76.0,68.0,7.0,23,80.0,J. Lukaku,57.0,66.0,61.0,72.0,77.0,89.0,79.0,74.0,76.0,79.0,14.0,77,9.0,53.0,207537
1098,36.0,83.0,47.0,12.0,81.0,88.0,14.0,67.0,67.0,66.0,24.0,79.0,58.0,71.0,48.0,66.0,78.0,65.0,6.0,21,80.0,J. Augustin,69.0,63.0,83.0,17.0,22.0,85.0,78.0,68.0,62.0,66.0,8.0,77,6.0,52.0,225713
1099,75.0,36.0,76.0,14.0,57.0,59.0,15.0,83.0,49.0,75.0,77.0,46.0,85.0,70.0,52.0,82.0,45.0,45.0,11.0,21,50.0,M. Diakhaby,31.0,29.0,47.0,70.0,78.0,57.0,33.0,68.0,73.0,28.0,10.0,77,11.0,34.0,230578
1101,75.0,30.0,82.0,14.0,63.0,62.0,10.0,89.0,37.0,71.0,75.0,58.0,80.0,72.0,61.0,80.0,59.0,56.0,14.0,30,45.0,N. Pejčinović,44.0,44.0,30.0,76.0,77.0,43.0,60.0,67.0,71.0,67.0,7.0,77,10.0,47.0,193714
1102,64.0,75.0,68.0,10.0,78.0,65.0,7.0,70.0,55.0,82.0,59.0,70.0,59.0,76.0,74.0,75.0,77.0,77.0,12.0,21,74.0,D. van de Beek,76.0,80.0,76.0,52.0,72.0,66.0,58.0,78.0,78.0,67.0,8.0,77,14.0,66.0,221363
1103,31.0,80.0,42.0,13.0,75.0,69.0,14.0,72.0,78.0,75.0,27.0,61.0,78.0,67.0,64.0,91.0,80.0,70.0,12.0,25,70.0,Borja Iglesias,65.0,77.0,79.0,18.0,20.0,65.0,69.0,68.0,80.0,50.0,16.0,77,16.0,35.0,224179
1104,61.0,70.0,65.0,9.0,79.0,67.0,10.0,67.0,71.0,74.0,73.0,76.0,56.0,78.0,79.0,60.0,64.0,80.0,13.0,26,77.0,G. Shibasaki,61.0,66.0,69.0,72.0,74.0,69.0,77.0,81.0,75.0,68.0,13.0,77,6.0,59.0,232883
1105,69.0,67.0,70.0,9.0,80.0,59.0,7.0,51.0,66.0,74.0,72.0,71.0,58.0,77.0,73.0,59.0,60.0,84.0,15.0,23,78.0,W. Hughes,48.0,62.0,72.0,69.0,65.0,67.0,75.0,79.0,78.0,69.0,12.0,77,12.0,60.0,206516
1106,16.0,68.0,47.0,14.0,86.0,79.0,9.0,34.0,69.0,67.0,40.0,89.0,35.0,68.0,66.0,40.0,71.0,75.0,16.0,24,86.0,S. Boufal,70.0,65.0,72.0,32.0,19.0,84.0,84.0,75.0,69.0,69.0,10.0,77,7.0,71.0,211381
1107,72.0,37.0,80.0,10.0,64.0,76.0,9.0,78.0,36.0,74.0,81.0,69.0,76.0,76.0,58.0,70.0,65.0,56.0,9.0,21,63.0,T. Kehrer,32.0,40.0,48.0,85.0,75.0,74.0,65.0,63.0,68.0,56.0,14.0,77,12.0,45.0,226229
1108,75.0,71.0,69.0,10.0,74.0,76.0,12.0,80.0,59.0,85.0,78.0,66.0,80.0,67.0,73.0,79.0,72.0,55.0,8.0,27,63.0,M. Lang,68.0,66.0,67.0,77.0,75.0,69.0,57.0,74.0,71.0,78.0,9.0,77,11.0,45.0,184501
1110,68.0,39.0,81.0,15.0,64.0,85.0,6.0,86.0,39.0,61.0,84.0,61.0,71.0,67.0,66.0,88.0,44.0,56.0,7.0,19,59.0,D. Upamecano,21.0,24.0,35.0,75.0,75.0,73.0,62.0,72.0,68.0,47.0,8.0,77,9.0,32.0,229558
1111,71.0,55.0,79.0,13.0,74.0,74.0,16.0,71.0,63.0,88.0,78.0,74.0,64.0,73.0,77.0,71.0,83.0,70.0,14.0,29,75.0,Jefferson,70.0,80.0,72.0,78.0,70.0,77.0,74.0,74.0,59.0,84.0,6.0,77,14.0,81.0,188086
1112,17.0,14.0,28.0,78.0,14.0,48.0,76.0,57.0,25.0,42.0,20.0,43.0,13.0,67.0,27.0,80.0,25.0,46.0,79.0,25,15.0,W. Benítez,13.0,14.0,18.0,17.0,21.0,48.0,40.0,26.0,62.0,12.0,70.0,77,79.0,19.0,215223
1115,75.0,64.0,78.0,8.0,77.0,83.0,9.0,63.0,65.0,77.0,72.0,76.0,66.0,79.0,69.0,68.0,75.0,66.0,15.0,26,79.0,B. Sarr,46.0,69.0,65.0,76.0,76.0,82.0,76.0,74.0,68.0,75.0,14.0,77,12.0,72.0,204472
1116,22.0,81.0,58.0,14.0,77.0,72.0,11.0,77.0,70.0,72.0,29.0,78.0,83.0,77.0,53.0,73.0,75.0,66.0,11.0,27,73.0,F. Ferreyra,68.0,77.0,77.0,26.0,23.0,70.0,68.0,68.0,79.0,49.0,8.0,77,15.0,48.0,213432
1118,49.0,73.0,78.0,7.0,79.0,75.0,10.0,89.0,71.0,84.0,60.0,86.0,75.0,77.0,69.0,69.0,75.0,74.0,6.0,28,78.0,A. Ayew,64.0,74.0,78.0,57.0,52.0,75.0,81.0,76.0,74.0,75.0,12.0,77,15.0,74.0,176571
1119,13.0,78.0,75.0,8.0,72.0,62.0,12.0,76.0,61.0,63.0,18.0,47.0,81.0,74.0,59.0,86.0,83.0,68.0,7.0,30,69.0,K. Mitroglou,76.0,72.0,78.0,10.0,10.0,53.0,34.0,66.0,83.0,60.0,10.0,77,16.0,72.0,183483
1122,74.0,39.0,72.0,6.0,74.0,84.0,15.0,81.0,40.0,79.0,77.0,68.0,70.0,75.0,70.0,80.0,65.0,64.0,15.0,24,73.0,D. da Costa,52.0,55.0,67.0,73.0,73.0,77.0,61.0,74.0,65.0,78.0,12.0,77,6.0,64.0,202429
1123,45.0,74.0,68.0,14.0,79.0,83.0,13.0,56.0,62.0,80.0,36.0,82.0,49.0,70.0,69.0,66.0,77.0,75.0,14.0,24,79.0,V. Fischer,74.0,70.0,75.0,33.0,34.0,80.0,75.0,75.0,74.0,67.0,6.0,77,15.0,71.0,203965
1124,35.0,75.0,80.0,8.0,78.0,79.0,12.0,66.0,60.0,74.0,27.0,50.0,73.0,71.0,67.0,95.0,81.0,68.0,13.0,21,76.0,Wesley,71.0,67.0,74.0,15.0,37.0,68.0,45.0,75.0,75.0,65.0,14.0,77,6.0,57.0,232381
1125,30.0,77.0,80.0,7.0,73.0,84.0,13.0,64.0,76.0,62.0,45.0,54.0,74.0,72.0,37.0,90.0,83.0,58.0,6.0,27,69.0,D. Ginczek,78.0,65.0,78.0,19.0,29.0,66.0,53.0,63.0,71.0,31.0,15.0,77,15.0,49.0,192445
1127,45.0,70.0,65.0,7.0,75.0,87.0,15.0,60.0,60.0,72.0,53.0,94.0,30.0,72.0,60.0,42.0,60.0,74.0,14.0,24,81.0,R. Fraser,43.0,69.0,72.0,42.0,45.0,90.0,96.0,73.0,68.0,74.0,15.0,77,10.0,70.0,207807
1129,70.0,54.0,58.0,13.0,80.0,70.0,8.0,51.0,51.0,78.0,71.0,73.0,50.0,76.0,78.0,63.0,63.0,80.0,11.0,22,77.0,H. Winks,50.0,62.0,64.0,64.0,69.0,75.0,78.0,83.0,80.0,65.0,14.0,77,10.0,71.0,222400
1130,69.0,44.0,74.0,14.0,74.0,92.0,8.0,78.0,35.0,90.0,76.0,78.0,65.0,69.0,65.0,82.0,66.0,68.0,7.0,23,71.0,K. Mbabu,39.0,44.0,72.0,74.0,71.0,90.0,72.0,72.0,71.0,76.0,7.0,77,14.0,62.0,210625
1131,77.0,48.0,82.0,13.0,62.0,73.0,14.0,85.0,64.0,72.0,78.0,62.0,77.0,68.0,81.0,83.0,83.0,65.0,14.0,25,55.0,M. Hinteregger,49.0,71.0,61.0,77.0,76.0,63.0,62.0,63.0,65.0,53.0,9.0,77,10.0,58.0,201922
1135,20.0,72.0,64.0,15.0,78.0,66.0,14.0,67.0,75.0,71.0,38.0,86.0,61.0,75.0,74.0,64.0,81.0,74.0,11.0,28,78.0,M. Fabián,77.0,80.0,74.0,34.0,34.0,69.0,86.0,77.0,76.0,74.0,8.0,77,13.0,78.0,186307
1136,57.0,79.0,60.0,6.0,78.0,74.0,8.0,69.0,75.0,68.0,50.0,72.0,76.0,77.0,75.0,78.0,77.0,79.0,8.0,28,74.0,Carlos Eduardo,75.0,74.0,80.0,38.0,55.0,65.0,51.0,74.0,72.0,76.0,10.0,77,10.0,76.0,192708
1138,74.0,55.0,68.0,15.0,74.0,79.0,10.0,69.0,62.0,89.0,76.0,76.0,56.0,73.0,74.0,65.0,69.0,73.0,12.0,24,73.0,L. Augustinsson,54.0,59.0,65.0,77.0,73.0,77.0,72.0,73.0,74.0,77.0,10.0,77,8.0,75.0,212678
1139,74.0,26.0,80.0,14.0,60.0,72.0,13.0,82.0,38.0,74.0,76.0,65.0,78.0,72.0,66.0,79.0,42.0,44.0,9.0,27,52.0,S. Aziz,42.0,31.0,24.0,75.0,78.0,74.0,62.0,71.0,74.0,43.0,8.0,77,10.0,36.0,189127
1140,21.0,12.0,19.0,77.0,18.0,50.0,76.0,75.0,16.0,34.0,10.0,65.0,19.0,71.0,32.0,56.0,25.0,48.0,68.0,32,10.0,G. Ochoa,16.0,11.0,16.0,12.0,23.0,47.0,42.0,31.0,57.0,15.0,75.0,77,83.0,14.0,140233
1141,69.0,54.0,86.0,9.0,78.0,74.0,13.0,90.0,69.0,88.0,72.0,78.0,58.0,75.0,76.0,67.0,76.0,76.0,11.0,31,77.0,P. Hetemaj,77.0,73.0,73.0,76.0,73.0,78.0,81.0,78.0,77.0,74.0,8.0,77,6.0,74.0,172233
1144,78.0,70.0,78.0,6.0,78.0,65.0,13.0,59.0,68.0,77.0,70.0,68.0,66.0,79.0,74.0,67.0,86.0,77.0,7.0,32,77.0,B. Džemaili,75.0,80.0,77.0,69.0,69.0,59.0,68.0,78.0,79.0,75.0,11.0,77,14.0,79.0,138699
1145,65.0,35.0,79.0,8.0,70.0,63.0,11.0,70.0,37.0,71.0,81.0,32.0,81.0,72.0,60.0,78.0,48.0,54.0,8.0,27,38.0,Juanpe,13.0,27.0,32.0,78.0,75.0,41.0,33.0,79.0,65.0,35.0,11.0,77,13.0,28.0,192715
1147,22.0,14.0,23.0,73.0,35.0,54.0,78.0,72.0,41.0,36.0,11.0,63.0,17.0,80.0,35.0,65.0,23.0,32.0,72.0,34,18.0,M. Vorm,12.0,19.0,10.0,14.0,28.0,53.0,53.0,39.0,63.0,13.0,70.0,77,78.0,12.0,137677
